Timestamp,ParticipantID,QuestionID,QuestionText,Answer
2026-01-09T15:04:33.929Z,P_1767970855077_u9djzo2cb,q1,"Как часто вы работаете с системой тикетов?","Ежедневно"
2026-01-09T15:04:33.931Z,P_1767970855077_u9djzo2cb,q2,"Насколько вы доверяете рекомендациям ИИ в работе?","Полностью доверяю"
2026-01-09T15:04:33.931Z,P_1767970855077_u9djzo2cb,q3,"Как вы предпочитаете работать с заявками?","Самостоятельно решать все тикеты"
2026-01-09T15:04:33.932Z,P_1767970855077_u9djzo2cb,q4,"Какие трудности вы обычно испытываете при работе с тикетами?","test"
2026-01-09T15:04:33.932Z,P_1767970855077_u9djzo2cb,q5,"Что для вас является главным критерием качества решения тикета?","test"
2026-01-09T15:04:33.932Z,P_1767970855077_u9djzo2cb,q6,"Какой уровень стресса вы обычно испытываете на работе?","Очень низкий"
2026-01-10T17:59:01.476Z,P_1767970855077_u9djzo2cb,even,q1,"Как часто вы работаете с системой тикетов?","Ежедневно"
2026-01-10T17:59:01.477Z,P_1767970855077_u9djzo2cb,even,q2,"Насколько вы доверяете рекомендациям ИИ в работе?","Полностью доверяю"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q3,"Как вы предпочитаете работать с заявками?","Делегировать часть работы"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q4,"Какие трудности вы обычно испытываете при работе с тикетами?","Не указано"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q5,"Что для вас является главным критерием качества решения тикета?","Не указано"
2026-01-10T17:59:01.478Z,P_1767970855077_u9djzo2cb,even,q6,"Какой уровень стресса вы обычно испытываете на работе?","Очень низкий"
2026-01-10T18:00:03.397Z,P_1767970855077_u9djzo2cb,even,q1,"Как часто вы работаете с системой тикетов?","Редко"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q2,"Насколько вы доверяете рекомендациям ИИ в работе?","Доверяю; но проверяю"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q3,"Как вы предпочитаете работать с заявками?","Делегировать часть работы"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q4,"Какие трудности вы обычно испытываете при работе с тикетами?","Не указано"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q5,"Что для вас является главным критерием качества решения тикета?","Не указано"
2026-01-10T18:00:03.400Z,P_1767970855077_u9djzo2cb,even,q6,"Какой уровень стресса вы обычно испытываете на работе?","Очень низкий"
2026-01-10T18:55:43.703Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:15:39.222Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в неделю"
2026-01-10T19:15:39.223Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Продвинутый"
2026-01-10T19:15:39.223Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:20:23.200Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:20:23.201Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Продвинутый"
2026-01-10T19:20:23.201Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:21:59.975Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:21:59.977Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Эксперт"
2026-01-10T19:21:59.977Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","ф"
2026-01-10T19:22:54.986Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:22:54.987Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Продвинутый"
2026-01-10T19:22:54.987Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:23:24.840Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:23:24.841Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Средний"
2026-01-10T19:23:24.841Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:26:52.244Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:26:52.246Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Эксперт"
2026-01-10T19:26:52.246Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:27:54.099Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:27:54.101Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Продвинутый"
2026-01-10T19:27:54.102Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:29:12.141Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:29:12.142Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T19:29:12.143Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:29:41.540Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:29:41.541Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Эксперт"
2026-01-10T19:29:41.541Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:30:09.872Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:30:09.873Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T19:30:09.873Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:55:54.547Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:55:54.550Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Продвинутый"
2026-01-10T19:55:54.550Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:57:33.045Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T19:57:33.046Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Средний"
2026-01-10T19:57:33.046Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T19:58:09.972Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Никогда"
2026-01-10T19:58:09.972Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T19:58:09.973Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T20:13:31.509Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T20:13:31.510Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Средний"
2026-01-10T20:13:31.510Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T20:15:24.222Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Редко"
2026-01-10T20:15:24.223Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T20:15:24.223Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T20:15:53.453Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T20:15:53.454Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Средний"
2026-01-10T20:15:53.454Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Не указано"
2026-01-10T21:17:19.314Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T21:17:19.315Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Средний"
2026-01-10T21:17:19.315Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T21:47:50.348Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Ежедневно"
2026-01-10T21:47:50.349Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T21:47:50.349Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T21:50:08.034Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T21:50:08.036Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Эксперт"
2026-01-10T21:50:08.036Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T21:55:26.150Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T21:55:26.151Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T21:55:26.151Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T22:20:43.912Z,P_1768082976943_x4w69qne4,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Редко"
2026-01-10T22:20:43.913Z,P_1768082976943_x4w69qne4,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Эксперт"
2026-01-10T22:20:43.913Z,P_1768082976943_x4w69qne4,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T22:36:53.647Z,P_1768082976943_x4w69qne4,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T22:36:53.649Z,P_1768082976943_x4w69qne4,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Продвинутый"
2026-01-10T22:36:53.650Z,P_1768082976943_x4w69qne4,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T22:37:18.749Z,P_1768082976943_x4w69qne4,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Редко"
2026-01-10T22:37:18.750Z,P_1768082976943_x4w69qne4,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T22:37:18.750Z,P_1768082976943_x4w69qne4,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T22:39:06.865Z,P_1768082976943_x4w69qne4,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Редко"
2026-01-10T22:39:06.866Z,P_1768082976943_x4w69qne4,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Эксперт"
2026-01-10T22:39:06.866Z,P_1768082976943_x4w69qne4,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T22:39:55.023Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T22:39:55.024Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-10T22:39:55.024Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T22:40:11.609Z,P_1768082976943_x4w69qne4,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Несколько раз в месяц"
2026-01-10T22:40:11.610Z,P_1768082976943_x4w69qne4,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Продвинутый"
2026-01-10T22:40:11.610Z,P_1768082976943_x4w69qne4,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T22:40:33.451Z,P_1768082976943_x4w69qne4,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Редко"
2026-01-10T22:40:33.451Z,P_1768082976943_x4w69qne4,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Продвинутый"
2026-01-10T22:40:33.452Z,P_1768082976943_x4w69qne4,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T22:40:54.496Z,P_1768082976943_x4w69qne4,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Никогда"
2026-01-10T22:40:54.497Z,P_1768082976943_x4w69qne4,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Эксперт"
2026-01-10T22:40:54.497Z,P_1768082976943_x4w69qne4,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T22:42:35.333Z,P_1768082976943_x4w69qne4,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Not specified"
2026-01-10T22:42:35.334Z,P_1768082976943_x4w69qne4,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Not specified"
2026-01-10T22:42:35.334Z,P_1768082976943_x4w69qne4,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-10T22:42:44.752Z,P_1768082976943_x4w69qne4,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Not specified"
2026-01-10T22:42:44.752Z,P_1768082976943_x4w69qne4,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Not specified"
2026-01-10T22:42:44.753Z,P_1768082976943_x4w69qne4,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-13T15:16:16.260Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Редко"
2026-01-13T15:16:16.262Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Начинающий"
2026-01-13T15:16:16.262Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-13T15:48:32.053Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"Как часто вы работаете с системами технической поддержки (ITSM) в вашей профессиональной деятельности?","Not specified"
2026-01-13T15:48:32.055Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"Как вы оцениваете ваш уровень знаний в области IT?","Not specified"
2026-01-13T15:48:32.056Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Имеете ли вы опыт работы с системами искусственного интеллекта? Если да, опишите кратко.","Not specified"
2026-01-14T10:02:59.452Z,P_1767970855077_u9djzo2cb,even,0,pre_q1,"What is your age group?","Not specified"
2026-01-14T10:02:59.453Z,P_1767970855077_u9djzo2cb,even,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-14T10:02:59.454Z,P_1767970855077_u9djzo2cb,even,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-14T10:02:59.454Z,P_1767970855077_u9djzo2cb,even,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-14T10:02:59.454Z,P_1767970855077_u9djzo2cb,even,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-14T10:02:59.454Z,P_1767970855077_u9djzo2cb,even,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-14T10:02:59.454Z,P_1767970855077_u9djzo2cb,even,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-14T10:02:59.454Z,P_1767970855077_u9djzo2cb,even,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-14T10:02:59.454Z,P_1767970855077_u9djzo2cb,even,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-14T10:02:59.455Z,P_1767970855077_u9djzo2cb,even,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-14T10:02:59.455Z,P_1767970855077_u9djzo2cb,even,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-14T10:02:59.455Z,P_1767970855077_u9djzo2cb,even,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-14T10:08:42.269Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"What is your age group?","Not specified"
2026-01-14T10:08:42.271Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-14T10:08:42.271Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
2026-01-14T10:08:42.271Z,P_1767970855077_u9djzo2cb,odd,0,pre_q4,"Do you have experience working in IT support or similar?","Not specified"
2026-01-14T10:08:42.271Z,P_1767970855077_u9djzo2cb,odd,0,pre_q5,"Are you familiar with modern AI Models such as ChatGPT?","Not specified"
2026-01-14T10:08:42.272Z,P_1767970855077_u9djzo2cb,odd,0,pre_q6,"How would you rate your level of proficiency with AI?","Not specified"
2026-01-14T10:08:42.272Z,P_1767970855077_u9djzo2cb,odd,0,pre_q7,"How would you rate your level of trust towards AI?","Not specified"
2026-01-14T10:08:42.272Z,P_1767970855077_u9djzo2cb,odd,0,pre_q8,"Do you prefer working alone or in a group?","Not specified"
2026-01-14T10:08:42.272Z,P_1767970855077_u9djzo2cb,odd,0,pre_q9,"Do you feel more confident when you work in a group or with AI?","Not specified"
2026-01-14T10:08:42.272Z,P_1767970855077_u9djzo2cb,odd,0,pre_q10,"If you required assistance for a certain task, which option would you choose?","Not specified"
2026-01-14T10:08:42.273Z,P_1767970855077_u9djzo2cb,odd,0,pre_q11,"What would you expect from a good IT support system?","Not specified"
2026-01-14T10:08:42.273Z,P_1767970855077_u9djzo2cb,odd,0,pre_q12,"What would you expect from a good AI Bot integrated in an IT support system?","Not specified"
2026-01-14T10:18:30.217Z,P_1767970855077_u9djzo2cb,odd,0,pre_q1,"What is your age group?","Not specified"
2026-01-14T10:18:30.217Z,P_1767970855077_u9djzo2cb,odd,0,pre_q2,"What is your current occupation?","Not specified"
2026-01-14T10:18:30.217Z,P_1767970855077_u9djzo2cb,odd,0,pre_q3,"Are you familiar with IT Service Management (ITSM)?","Not specified"
