Timestamp,ParticipantID,Parity,QuestionID,QuestionText,Answer
2026-01-10T19:19:00.202Z,P_1767970855077_u9djzo2cb,even,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Удовлетворительное"
2026-01-10T19:19:00.202Z,P_1767970855077_u9djzo2cb,even,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Не указано"
2026-01-10T19:19:00.202Z,P_1767970855077_u9djzo2cb,even,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","лтло"
2026-01-10T19:21:54.987Z,P_1767970855077_u9djzo2cb,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Нейтрально"
2026-01-10T19:21:54.987Z,P_1767970855077_u9djzo2cb,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Неточные"
2026-01-10T19:21:54.988Z,P_1767970855077_u9djzo2cb,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Плохо"
2026-01-10T19:21:54.988Z,P_1767970855077_u9djzo2cb,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T19:21:54.988Z,P_1767970855077_u9djzo2cb,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","ф"
2026-01-10T19:22:28.031Z,P_1767970855077_u9djzo2cb,odd,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Совсем неэффективно"
2026-01-10T19:22:28.032Z,P_1767970855077_u9djzo2cb,odd,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Совсем неточные"
2026-01-10T19:22:28.033Z,P_1767970855077_u9djzo2cb,odd,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Удовлетворительно"
2026-01-10T19:22:28.033Z,P_1767970855077_u9djzo2cb,odd,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T19:22:28.033Z,P_1767970855077_u9djzo2cb,odd,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","ффф"
2026-01-10T19:23:14.749Z,P_1767970855077_u9djzo2cb,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Совсем неэффективно"
2026-01-10T19:23:14.751Z,P_1767970855077_u9djzo2cb,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Неточные"
2026-01-10T19:23:14.751Z,P_1767970855077_u9djzo2cb,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Очень плохо"
2026-01-10T19:23:14.751Z,P_1767970855077_u9djzo2cb,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T19:23:14.751Z,P_1767970855077_u9djzo2cb,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","ы"
2026-01-10T19:27:47.407Z,P_1767970855077_u9djzo2cb,odd,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Очень эффективно"
2026-01-10T19:27:47.409Z,P_1767970855077_u9djzo2cb,odd,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Очень точные"
2026-01-10T19:27:47.409Z,P_1767970855077_u9djzo2cb,odd,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Плохо"
2026-01-10T19:27:47.410Z,P_1767970855077_u9djzo2cb,odd,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T19:27:47.410Z,P_1767970855077_u9djzo2cb,odd,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","m"
2026-01-10T19:29:34.784Z,P_1767970855077_u9djzo2cb,odd,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Нейтрально"
2026-01-10T19:29:34.785Z,P_1767970855077_u9djzo2cb,odd,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Совсем неточные"
2026-01-10T19:29:34.786Z,P_1767970855077_u9djzo2cb,odd,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Удовлетворительно"
2026-01-10T19:29:34.786Z,P_1767970855077_u9djzo2cb,odd,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T19:29:34.786Z,P_1767970855077_u9djzo2cb,odd,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?",";;"
2026-01-10T19:30:00.344Z,P_1767970855077_u9djzo2cb,odd,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Очень эффективно"
2026-01-10T19:30:00.344Z,P_1767970855077_u9djzo2cb,odd,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Отзывчивы"
2026-01-10T19:30:00.344Z,P_1767970855077_u9djzo2cb,odd,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Плохое"
2026-01-10T19:30:00.344Z,P_1767970855077_u9djzo2cb,odd,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Не указано"
2026-01-10T19:30:00.345Z,P_1767970855077_u9djzo2cb,odd,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","kk"
2026-01-10T19:55:46.432Z,P_1767970855077_u9djzo2cb,odd,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Эффективно"
2026-01-10T19:55:46.433Z,P_1767970855077_u9djzo2cb,odd,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Очень точные"
2026-01-10T19:55:46.433Z,P_1767970855077_u9djzo2cb,odd,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Отлично"
2026-01-10T19:55:46.433Z,P_1767970855077_u9djzo2cb,odd,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T19:55:46.433Z,P_1767970855077_u9djzo2cb,odd,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","ööö"
2026-01-10T19:57:22.939Z,P_1767970855077_u9djzo2cb,odd,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Совсем неэффективно"
2026-01-10T19:57:22.940Z,P_1767970855077_u9djzo2cb,odd,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Очень точные"
2026-01-10T19:57:22.940Z,P_1767970855077_u9djzo2cb,odd,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Хорошо"
2026-01-10T19:57:22.941Z,P_1767970855077_u9djzo2cb,odd,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T19:57:22.941Z,P_1767970855077_u9djzo2cb,odd,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","öle"
2026-01-10T19:57:58.806Z,P_1767970855077_u9djzo2cb,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Нейтрально"
2026-01-10T19:57:58.806Z,P_1767970855077_u9djzo2cb,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Неточные"
2026-01-10T19:57:58.807Z,P_1767970855077_u9djzo2cb,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Удовлетворительно"
2026-01-10T19:57:58.807Z,P_1767970855077_u9djzo2cb,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T19:57:58.807Z,P_1767970855077_u9djzo2cb,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","bb"
2026-01-10T20:13:06.904Z,P_1767970855077_u9djzo2cb,even,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Эффективно"
2026-01-10T20:13:06.906Z,P_1767970855077_u9djzo2cb,even,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Не очень отзывчивы"
2026-01-10T20:13:06.907Z,P_1767970855077_u9djzo2cb,even,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Отличное"
2026-01-10T20:13:06.907Z,P_1767970855077_u9djzo2cb,even,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Не указано"
2026-01-10T20:13:06.907Z,P_1767970855077_u9djzo2cb,even,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","a"
2026-01-10T20:15:07.037Z,P_1767970855077_u9djzo2cb,odd,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Эффективно"
2026-01-10T20:15:07.038Z,P_1767970855077_u9djzo2cb,odd,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Очень отзывчивы"
2026-01-10T20:15:07.039Z,P_1767970855077_u9djzo2cb,odd,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Плохое"
2026-01-10T20:15:07.039Z,P_1767970855077_u9djzo2cb,odd,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Не указано"
2026-01-10T20:15:07.039Z,P_1767970855077_u9djzo2cb,odd,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","o"
2026-01-10T20:15:45.754Z,P_1767970855077_u9djzo2cb,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Эффективно"
2026-01-10T20:15:45.755Z,P_1767970855077_u9djzo2cb,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Достаточно точные"
2026-01-10T20:15:45.756Z,P_1767970855077_u9djzo2cb,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Плохо"
2026-01-10T20:15:45.756Z,P_1767970855077_u9djzo2cb,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T20:15:45.756Z,P_1767970855077_u9djzo2cb,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","kk"
2026-01-10T20:16:16.367Z,P_1767970855077_u9djzo2cb,odd,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Неэффективно"
2026-01-10T20:16:16.368Z,P_1767970855077_u9djzo2cb,odd,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Очень точные"
2026-01-10T20:16:16.369Z,P_1767970855077_u9djzo2cb,odd,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Плохо"
2026-01-10T20:16:16.369Z,P_1767970855077_u9djzo2cb,odd,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Не указано"
2026-01-10T20:16:16.369Z,P_1767970855077_u9djzo2cb,odd,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","mm"
2026-01-10T21:18:40.139Z,P_1767970855077_u9djzo2cb,odd,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Очень эффективно"
2026-01-10T21:18:40.140Z,P_1767970855077_u9djzo2cb,odd,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Достаточно точные"
2026-01-10T21:18:40.141Z,P_1767970855077_u9djzo2cb,odd,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Хорошо"
2026-01-10T21:18:40.141Z,P_1767970855077_u9djzo2cb,odd,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-10T21:18:40.141Z,P_1767970855077_u9djzo2cb,odd,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","ддд"
2026-01-10T21:50:02.753Z,P_1767970855077_u9djzo2cb,odd,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Очень эффективно"
2026-01-10T21:50:02.754Z,P_1767970855077_u9djzo2cb,odd,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Отзывчивы"
2026-01-10T21:50:02.755Z,P_1767970855077_u9djzo2cb,odd,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Отличное"
2026-01-10T21:50:02.755Z,P_1767970855077_u9djzo2cb,odd,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Not specified"
2026-01-10T21:50:02.755Z,P_1767970855077_u9djzo2cb,odd,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","a"
2026-01-10T21:53:12.839Z,P_1767970855077_u9djzo2cb,odd,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Нейтрально"
2026-01-10T21:53:12.840Z,P_1767970855077_u9djzo2cb,odd,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Неточные"
2026-01-10T21:53:12.840Z,P_1767970855077_u9djzo2cb,odd,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Удовлетворительно"
2026-01-10T21:53:12.840Z,P_1767970855077_u9djzo2cb,odd,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-10T21:53:12.841Z,P_1767970855077_u9djzo2cb,odd,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","n"
2026-01-10T22:00:58.407Z,P_1767970855077_u9djzo2cb,odd,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Очень эффективно"
2026-01-10T22:00:58.408Z,P_1767970855077_u9djzo2cb,odd,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Очень отзывчивы"
2026-01-10T22:00:58.408Z,P_1767970855077_u9djzo2cb,odd,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Отличное"
2026-01-10T22:00:58.408Z,P_1767970855077_u9djzo2cb,odd,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Not specified"
2026-01-10T22:00:58.408Z,P_1767970855077_u9djzo2cb,odd,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","лллл"
2026-01-10T22:36:47.502Z,P_1768082976943_x4w69qne4,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Нейтрально"
2026-01-10T22:36:47.504Z,P_1768082976943_x4w69qne4,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Очень точные"
2026-01-10T22:36:47.504Z,P_1768082976943_x4w69qne4,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Отлично"
2026-01-10T22:36:47.505Z,P_1768082976943_x4w69qne4,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-10T22:36:47.505Z,P_1768082976943_x4w69qne4,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","k"
2026-01-10T22:37:13.584Z,P_1768082976943_x4w69qne4,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Нейтрально"
2026-01-10T22:37:13.585Z,P_1768082976943_x4w69qne4,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Средней точности"
2026-01-10T22:37:13.585Z,P_1768082976943_x4w69qne4,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Плохо"
2026-01-10T22:37:13.586Z,P_1768082976943_x4w69qne4,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-10T22:37:13.586Z,P_1768082976943_x4w69qne4,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","k"
2026-01-10T22:38:59.955Z,P_1768082976943_x4w69qne4,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Нейтрально"
2026-01-10T22:38:59.957Z,P_1768082976943_x4w69qne4,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Средней точности"
2026-01-10T22:38:59.957Z,P_1768082976943_x4w69qne4,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Очень плохо"
2026-01-10T22:38:59.958Z,P_1768082976943_x4w69qne4,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-10T22:38:59.958Z,P_1768082976943_x4w69qne4,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","n"
2026-01-10T22:40:27.972Z,P_1768082976943_x4w69qne4,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Совсем неэффективно"
2026-01-10T22:40:27.974Z,P_1768082976943_x4w69qne4,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Совсем неточные"
2026-01-10T22:40:27.975Z,P_1768082976943_x4w69qne4,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Плохо"
2026-01-10T22:40:27.975Z,P_1768082976943_x4w69qne4,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-10T22:40:27.975Z,P_1768082976943_x4w69qne4,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","aa"
2026-01-10T22:42:33.117Z,P_1768082976943_x4w69qne4,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Совсем неэффективно"
2026-01-10T22:42:33.117Z,P_1768082976943_x4w69qne4,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Not specified"
2026-01-10T22:42:33.117Z,P_1768082976943_x4w69qne4,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Not specified"
2026-01-10T22:42:33.117Z,P_1768082976943_x4w69qne4,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-10T22:42:33.117Z,P_1768082976943_x4w69qne4,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","Not specified"
2026-01-10T22:42:42.862Z,P_1768082976943_x4w69qne4,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Not specified"
2026-01-10T22:42:42.863Z,P_1768082976943_x4w69qne4,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Not specified"
2026-01-10T22:42:42.863Z,P_1768082976943_x4w69qne4,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Not specified"
2026-01-10T22:42:42.864Z,P_1768082976943_x4w69qne4,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-10T22:42:42.864Z,P_1768082976943_x4w69qne4,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","Not specified"
2026-01-10T22:43:25.417Z,P_1768082976943_x4w69qne4,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Not specified"
2026-01-10T22:43:25.418Z,P_1768082976943_x4w69qne4,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Not specified"
2026-01-10T22:43:25.418Z,P_1768082976943_x4w69qne4,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Not specified"
2026-01-10T22:43:25.418Z,P_1768082976943_x4w69qne4,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-10T22:43:25.419Z,P_1768082976943_x4w69qne4,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","Not specified"
2026-01-13T15:19:37.595Z,P_1767970855077_u9djzo2cb,even,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Not specified"
2026-01-13T15:19:37.600Z,P_1767970855077_u9djzo2cb,even,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Not specified"
2026-01-13T15:19:37.601Z,P_1767970855077_u9djzo2cb,even,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Not specified"
2026-01-13T15:19:37.601Z,P_1767970855077_u9djzo2cb,even,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-13T15:19:37.601Z,P_1767970855077_u9djzo2cb,even,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","Not specified"
2026-01-13T15:50:40.624Z,P_1767970855077_u9djzo2cb,odd,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Not specified"
2026-01-13T15:50:40.625Z,P_1767970855077_u9djzo2cb,odd,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Not specified"
2026-01-13T15:50:40.626Z,P_1767970855077_u9djzo2cb,odd,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Not specified"
2026-01-13T15:50:40.626Z,P_1767970855077_u9djzo2cb,odd,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Not specified"
2026-01-13T15:50:40.626Z,P_1767970855077_u9djzo2cb,odd,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","б"
2026-01-14T10:16:15.657Z,P_1767970855077_u9djzo2cb,odd,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Not specified"
2026-01-14T10:16:15.660Z,P_1767970855077_u9djzo2cb,odd,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Not specified"
2026-01-14T10:16:15.661Z,P_1767970855077_u9djzo2cb,odd,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Not specified"
2026-01-14T10:16:15.661Z,P_1767970855077_u9djzo2cb,odd,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Not specified"
2026-01-14T10:16:15.661Z,P_1767970855077_u9djzo2cb,odd,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","q"
2026-01-14T10:18:42.128Z,P_1767970855077_u9djzo2cb,odd,post_odd_q1,"Как вы оцениваете эффективность работы в команде с коллегами?","Not specified"
2026-01-14T10:18:42.129Z,P_1767970855077_u9djzo2cb,odd,post_odd_q2,"Насколько коллеги были отзывчивы и готовы помочь?","Not specified"
2026-01-14T10:18:42.129Z,P_1767970855077_u9djzo2cb,odd,post_odd_q3,"Как вы оцениваете качество решений, которые предлагали коллеги?","Not specified"
2026-01-14T10:18:42.130Z,P_1767970855077_u9djzo2cb,odd,post_odd_q4,"Что бы вы улучшили в системе взаимодействия с коллегами?","Not specified"
2026-01-14T10:18:42.130Z,P_1767970855077_u9djzo2cb,odd,post_odd_q5,"Предпочли бы вы работать с живыми коллегами или с ИИ в реальной работе? Почему?","q"
2026-01-14T10:22:36.067Z,P_1767970855077_u9djzo2cb,odd,post_even_q1,"Как вы оцениваете эффективность работы с ИИ-помощником?","Not specified"
2026-01-14T10:22:36.069Z,P_1767970855077_u9djzo2cb,odd,post_even_q2,"Насколько точными были советы, которые давал ИИ?","Not specified"
2026-01-14T10:22:36.070Z,P_1767970855077_u9djzo2cb,odd,post_even_q3,"Как вы оцениваете автономную работу ИИ (когда он сам решал тикеты)?","Not specified"
2026-01-14T10:22:36.070Z,P_1767970855077_u9djzo2cb,odd,post_even_q4,"Что бы вы улучшили в работе ИИ-помощника?","Not specified"
2026-01-14T10:22:36.070Z,P_1767970855077_u9djzo2cb,odd,post_even_q5,"Предпочли бы вы работать с ИИ или с живыми коллегами в реальной работе? Почему?","Not specified"
2026-01-30T12:34:03.597Z,P_1767970855077_u9djzo2cb,even,post_even_q1,"How effective did AI Assistant work?","Not specified"
